Nro,Retorno,SP500
1,0.005646542,17.76
2,-0.002254792,17.72
3,-0.009639995,17.55
4,0.006248245,17.66
5,-0.009101314,17.5
6,-0.007456301,17.37
7,-0.001152074,17.35
8,0.006892618,17.47
9,0.006276768,17.58
10,-0.016633593,17.29
11,0.000578202,17.3
12,-0.002314816,17.26
13,0.006928434,17.38
14,0.00573725,17.48
15,0.00911168,17.64
16,0.003960401,17.71
17,-0.010786366,17.52
18,0.006258911,17.63
19,0.003397512,17.69
20,-0.011370219,17.49
21,0.004563613,17.57
22,-0.002279203,17.53
23,0.005688297,17.63
24,-0.01313179,17.4
25,0.002869442,17.45
26,-0.00057323,17.44
27,0.002862871,17.49
28,0.003424661,17.55
29,-0.000569963,17.54
30,-0.005717568,17.44
31,-0.002296212,17.4
32,-0.0028777,17.35
33,-0.018028985,17.04
34,-0.005295688,16.95
35,0.009395254,17.11
36,0.001168224,17.13
37,0.002914604,17.18
38,-0.004082829,17.11
39,0.002918006,17.16
40,0.005810592,17.26
41,0.002314816,17.3
42,0,17.3
43,0.015486401,17.57
44,0.005675384,17.67
45,-0.005106394,17.58
46,0.003407158,17.64
47,0.016306237,17.93
48,0.00389647,18
49,-0.00445435,17.92
50,0.00055788,17.93
51,0.007777817,18.07
52,0.010459771,18.26
53,0.00546151,18.36
54,0.005431844,18.46
55,0.010239917,18.65
56,-0.002684565,18.6
57,0.009630893,18.78
58,0.014274628,19.05
59,-0.005791014,18.94
60,-0.002643406,18.89
61,0.00317125,18.95
62,0.017264358,19.28
63,-0.019377407,18.91
64,0.005800174,19.02
65,-0.001578532,18.99
66,0.012559035,19.23
67,0.002077923,19.27
68,-0.008861147,19.1
69,0.017644464,19.44
70,-0.001544402,19.41
71,0.016351923,19.73
72,-0.002537428,19.68
73,-0.008163311,19.52
74,0,19.52
75,0.005619427,19.63
76,-0.014883518,19.34
77,-0.009872774,19.15
78,0.005208345,19.25
79,0.004147232,19.33
80,0.007216526,19.47
81,0.010728072,19.68
82,0.0035506,19.75
83,0.001517835,19.78
84,0.002524616,19.83
85,0.005030192,19.93
86,0.01543471,20.24
87,0.008364132,20.41
88,-0.006883016,20.27
89,-0.001481116,20.24
90,-0.001483313,20.21
91,0.00739466,20.36
92,0.003921574,20.44
93,-0.002449181,20.39
94,-0.016815431,20.05
95,0.003485191,20.12
96,-0.009990093,19.92
97,-0.014665244,19.63
98,-0.013849926,19.36
99,0.019944409,19.75
100,0.006057565,19.87
101,0.001508675,19.9
102,-0.01672195,19.57
103,0.012693747,19.82
104,0.009040745,20
105,0.003493889,20.07
106,-0.013544225,19.8
107,0.002522069,19.85
108,-0.009617892,19.66
109,-0.002546475,19.61
110,-0.012314163,19.37
111,-0.036272045,18.68
112,-0.018368966,18.34
113,0.029548215,18.89
114,0.00843442,19.05
115,-0.016406825,18.74
116,-0.018309612,18.4
117,-0.003266198,18.34
118,0.012462909,18.57
119,-0.000538648,18.56
120,-0.001078167,18.54
121,-0.003782766,18.47
122,0.011305639,18.68
123,0.009589844,18.86
124,0.011073142,19.07
125,0.003663966,19.14
126,-0.008394593,18.98
127,0.016201034,19.29
128,0.009801471,19.48
129,-0.004630829,19.39
130,0.003603608,19.46
131,-0.001542813,19.43
132,-0.025014332,18.95
133,-0.007415288,18.81
134,0.007942854,18.96
135,-0.013807973,18.7
136,0.005333346,18.8
137,0.012159811,19.03
138,-0.002104156,18.99
139,0.002104156,19.03
140,0.004718226,19.12
141,-0.00157027,19.09
142,0.005745641,19.2
143,0.002081166,19.24
144,0.009312018,19.42
145,0.002571357,19.47
146,-0.002056556,19.43
147,-0.000514801,19.42
148,-0.00464517,19.33
149,0.001550789,19.36
150,0.011299555,19.58
151,-0.004607124,19.49
152,-0.012390453,19.25
153,0.002594035,19.3
154,-0.002594035,19.25
155,0.002075766,19.29
156,-0.008329043,19.13
157,0.017617036,19.47
158,0.007164821,19.61
159,0.001528663,19.64
160,0.006597334,19.77
161,0.012566137,20.02
162,-0.0009995,20
163,0.0009995,20.02
164,0.015857617,20.34
165,0.001964637,20.38
166,0.007820177,20.54
167,0.001945526,20.58
168,0.001456664,20.61
169,0.012536326,20.87
170,0.004780124,20.97
171,0.004757383,21.07
172,-0.006189022,20.94
173,0.007137789,21.09
174,-0.008093355,20.92
175,0.007619084,21.08
176,0.003787883,21.16
177,-0.000945627,21.14
178,0,21.14
179,0.008947552,21.33
180,-0.007057192,21.18
181,0,21.18
182,0.001886793,21.22
183,0.006575881,21.36
184,0.003271795,21.43
185,-0.000933707,21.41
186,-0.000467181,21.4
187,-0.01269709,21.13
188,0.000473149,21.14
189,0.010353034,21.36
190,-0.004692641,21.26
191,-0.003298001,21.19
192,0.003298001,21.26
193,-0.00188324,21.22
194,-0.005197271,21.11
195,0.003310478,21.18
196,0.010800762,21.41
197,0.004659841,21.51
198,0.006487511,21.65
199,0.003228041,21.72
200,0.003217654,21.79
201,0.002292002,21.84
202,0.005479466,21.96
203,-0.006854036,21.81
204,0.006398559,21.95
205,0.001820665,21.99
206,-0.003644651,21.91
207,-0.011937699,21.65
208,0.016036999,22
209,-0.010969031,21.76
210,-0.003683245,21.68
211,0.014197628,21.99
212,-0.001820665,21.95
213,0.01312533,22.24
214,0,22.24
215,0.006721961,22.39
216,0.007120635,22.55
217,0.012778319,22.84
218,0.003060112,22.91
219,0,22.91
220,0.005224217,23.03
221,0.014655435,23.37
222,0,23.37
223,0.008521568,23.57
224,-0.014960741,23.22
225,0.012837147,23.52
226,0.007623925,23.7
227,0.004210533,23.8
228,0.004611201,23.91
229,0.011642543,24.19
